Ethnicity_Code,Ethnicity,ETHNIC GROUP
A,White - British,White
B,White - Irish,White
C,White - Any other White background,White
D,Mixed - White and Black Caribbean,Mixed
E,Mixed - White and Black African,Mixed
F,Mixed - White and Asian,Mixed
G,Mixed - Any other mixed background,Mixed
H,Asian or Asian British - Indian,Asian
J,Asian or Asian British - Pakistani,Asian
K,Asian or Asian British - Bangladeshi,Asian
L,Asian or Asian British - Any other Asian background,Asian
M,Black or Black British - Caribbean,Black
N,Black or Black British - African,Black
P,Black or Black British - Any other Black background,Black
R,Other Ethnic Groups - Chinese,Other
S,Other Ethnic Groups - Any other ethnic group,Other
Z,Unknown/Declined to state,Unknown
NS,N/A,Unknown
99,N/A,Unknown
T,Traveller,Other
W,Arab,Other
0,N/A,Unknown
